alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
the-grill-on-the-alley-beverly-hills,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 34.0672506, 'longitude': -118.402123}",(310) 276-0615,7444.143205728153,AHR8OnXRslDfynQ27_bJRQ,https://s3-media1.fl.yelpcdn.com/bphoto/cHdcMRVW0pW49AufgnsPKA/o.jpg,False,"{'address1': '9560 Dayton Way', 'address2': '', 'address3': '', 'city': 'Beverly Hills', 'zip_code': '90210', 'country': 'US', 'state': 'CA', 'display_address': ['9560 Dayton Way', 'Beverly Hills, CA 90210']}",The Grill On The Alley,+13102760615,$$$,4.0,399,"['delivery', 'pickup']",https://www.yelp.com/biz/the-grill-on-the-alley-beverly-hills?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
scala-stonegrill-alhambra-2,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 34.07786, 'longitude': -118.12339}",(626) 782-7898,18344.054494852055,pbT0ezzuXiRGZTJM1kfRwQ,https://s3-media4.fl.yelpcdn.com/bphoto/xfG2PJB_c0eT8WikpQTCXA/o.jpg,False,"{'address1': '1411 South Garfield Ave', 'address2': 'Ste 104', 'address3': '', 'city': 'Alhambra', 'zip_code': '91801', 'country': 'US', 'state': 'CA', 'display_address': ['1411 South Garfield Ave', 'Ste 104', 'Alhambra, CA 91801']}",Scala Stonegrill,+16267827898,$$,4.0,213,"['delivery', 'pickup']",https://www.yelp.com/biz/scala-stonegrill-alhambra-2?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
round-table-grill-los-angeles,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 34.0637349, 'longitude': -118.2973124}",(213) 380-0122,2233.4236408738448,x8qmT_2Wt8R8KdOKofc1dA,https://s3-media4.fl.yelpcdn.com/bphoto/HIvKWiI6n1rAKHHD3db9tQ/o.jpg,False,"{'address1': '3465 W 6th St', 'address2': 'Ste 50', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['3465 W 6th St', 'Ste 50', 'Los Angeles, CA 90020']}",Round Table Grill,+12133800122,$$$,4.5,46,[],https://www.yelp.com/biz/round-table-grill-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
red-pig-los-angeles,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 34.05797, 'longitude': -118.2944}",(213) 384-3559,2511.430974529542,bowHbhd687hDsgWIrtWXbw,https://s3-media1.fl.yelpcdn.com/bphoto/L89Ld0NPe_D1-AIIuAqxAQ/o.jpg,False,"{'address1': '3101 W 8th St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['3101 W 8th St', 'Los Angeles, CA 90005']}",Red Pig,+12133843559,,4.0,6,[],https://www.yelp.com/biz/red-pig-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
ta-eem-grill-los-angeles,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'kosher', 'title': 'Kosher'}]","{'latitude': 34.0834879, 'longitude': -118.3518564}",(323) 944-0013,3715.963676136108,1k6hSTQO9E4iSzwyx8yTUw,https://s3-media4.fl.yelpcdn.com/bphoto/Hwlto0yCAIg3vkXzWyyaaw/o.jpg,False,"{'address1': '7422 Melrose Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90046', 'country': 'US', 'state': 'CA', 'display_address': ['7422 Melrose Ave', 'Los Angeles, CA 90046']}",Ta-eem Grill,+13239440013,$$,4.5,1031,"['delivery', 'pickup']",https://www.yelp.com/biz/ta-eem-grill-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
sidewalk-grill-los-angeles,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.1026289157429, 'longitude': -118.291943635377}",(323) 669-3354,5307.907906816731,nqYbRGPmYA0X_sjSBtXpgw,https://s3-media2.fl.yelpcdn.com/bphoto/vqgcfE-mNDm694TkMQU9sg/o.jpg,False,"{'address1': '1727 N Vermont Ave', 'address2': 'Ste 102', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90027', 'country': 'US', 'state': 'CA', 'display_address': ['1727 N Vermont Ave', 'Ste 102', 'Los Angeles, CA 90027']}",Sidewalk Grill,+13236693354,$$,4.5,833,"['delivery', 'pickup']",https://www.yelp.com/biz/sidewalk-grill-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
grill-house-van-nuys-los-angeles,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 34.1940771815582, 'longitude': -118.483459800482}",(818) 988-1236,20966.571170077044,EQrxog-kb77Jbo-ZPWoVUQ,https://s3-media3.fl.yelpcdn.com/bphoto/aSvx_ayqMr2UUk0GtKSELA/o.jpg,False,"{'address1': '16067 Vanowen St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '91406', 'country': 'US', 'state': 'CA', 'display_address': ['16067 Vanowen St', 'Los Angeles, CA 91406']}",Grill House Van Nuys,+18189881236,,3.5,23,['pickup'],https://www.yelp.com/biz/grill-house-van-nuys-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
tasty-grill-los-angeles,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 34.06876, 'longitude': -118.30948}",(213) 908-5929,1333.0367053174225,vhtr27Dxcau8JJ2kSgMJnA,https://s3-media3.fl.yelpcdn.com/bphoto/yv2rJjtLa9XRkZbtzbJjTw/o.jpg,False,"{'address1': '301 S Western Ave', 'address2': 'Ste 101-102', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['301 S Western Ave', 'Ste 101-102', 'Los Angeles, CA 90020']}",Tasty Grill,+12139085929,$$,4.0,181,[],https://www.yelp.com/biz/tasty-grill-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
south-beverly-grill-beverly-hills-4,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 34.06617, 'longitude': -118.39872}",(310) 550-0242,7143.425861948923,ApNYvuRIHRd5TQsp7Cq6Zg,https://s3-media1.fl.yelpcdn.com/bphoto/q_Epctr521UaXxY2XDjDWQ/o.jpg,False,"{'address1': '122 S Beverly Dr', 'address2': '', 'address3': '', 'city': 'Beverly Hills', 'zip_code': '90212', 'country': 'US', 'state': 'CA', 'display_address': ['122 S Beverly Dr', 'Beverly Hills, CA 90212']}",South Beverly Grill,+13105500242,$$$,4.0,621,[],https://www.yelp.com/biz/south-beverly-grill-beverly-hills-4?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
border-grill-downtown-la-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.0532368547241, 'longitude': -118.257029056549}",(213) 486-5171,6000.529321499778,ZwkxpiHOvNuy83JgAfL6QQ,https://s3-media1.fl.yelpcdn.com/bphoto/q9t08csyEnvHEjUnE2JS_Q/o.jpg,False,"{'address1': '445 S Figueroa St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90071', 'country': 'US', 'state': 'CA', 'display_address': ['445 S Figueroa St', 'Los Angeles, CA 90071']}",Border Grill Downtown LA,+12134865171,$$,4.0,965,"['delivery', 'pickup']",https://www.yelp.com/biz/border-grill-downtown-la-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
aca-grill-los-angeles-2,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'empanadas', 'title': 'Empanadas'}]","{'latitude': 34.0574375, 'longitude': -118.2937431}",(213) 674-7708,2587.491259040528,k2dhvRV0gtPoDWLuH2OMTQ,https://s3-media1.fl.yelpcdn.com/bphoto/ICnHyn_MRp8Rh1Ty8O9j8Q/o.jpg,False,"{'address1': '3062 W 8th St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['3062 W 8th St', 'Los Angeles, CA 90005']}",ACA Grill,+12136747708,$$,4.5,407,['pickup'],https://www.yelp.com/biz/aca-grill-los-angeles-2?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
the-sandwich-shoppe-los-angeles,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 34.1280941, 'longitude': -118.347081}",(323) 822-5171,7773.070685846065,ItB8X3LclD5T2T40GwqXTA,https://s3-media1.fl.yelpcdn.com/bphoto/mFEDT1p1VxKZcOaFp8wZgw/o.jpg,False,"{'address1': '3171 Cahuenga Blvd W', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90068', 'country': 'US', 'state': 'CA', 'display_address': ['3171 Cahuenga Blvd W', 'Los Angeles, CA 90068']}",The Sandwich Shoppe,+13238225171,,5.0,50,"['delivery', 'pickup']",https://www.yelp.com/biz/the-sandwich-shoppe-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
lalas-argentine-grill-los-angeles-3,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.083643, 'longitude': -118.347297}",(323) 934-6838,3422.1971941736274,h_VkRMpSrtjdKDxUJ7sDOQ,https://s3-media2.fl.yelpcdn.com/bphoto/TK__ORMK24gBFJf-6S6-0g/o.jpg,False,"{'address1': '7229 Melrose Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90046', 'country': 'US', 'state': 'CA', 'display_address': ['7229 Melrose Ave', 'Los Angeles, CA 90046']}",Lala's Argentine Grill,+13239346838,$$,4.0,1839,"['delivery', 'pickup']",https://www.yelp.com/biz/lalas-argentine-grill-los-angeles-3?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
kgrill-korean-cuisine-los-angeles-2,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 34.0529, 'longitude': -118.256421}",(213) 624-5111,6061.745395144105,ROyE1YrbHVQX-Qkw0mMotA,https://s3-media4.fl.yelpcdn.com/bphoto/tdI_oJ-Z049kYXp3CB-P3w/o.jpg,False,"{'address1': '404 S Figueroa St', 'address2': 'Ste 409', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90071', 'country': 'US', 'state': 'CA', 'display_address': ['404 S Figueroa St', 'Ste 409', 'Los Angeles, CA 90071']}",K'Grill Korean Cuisine,+12136245111,$,4.5,78,[],https://www.yelp.com/biz/kgrill-korean-cuisine-los-angeles-2?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
pampas-grill-los-angeles,"[{'alias': 'brazilian', 'title': 'Brazilian'}]","{'latitude': 34.072166900233, 'longitude': -118.360551042328}",(323) 931-1928,3794.9272266705198,tW4eYiMzeWtcJS7kLHL54g,https://s3-media1.fl.yelpcdn.com/bphoto/FwRacs-wBshZDtNnyrnUtA/o.jpg,False,"{'address1': '6333 W 3rd St', 'address2': 'Ste 618', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['6333 W 3rd St', 'Ste 618', 'Los Angeles, CA 90036']}",Pampas Grill,+13239311928,$$,4.0,1146,[],https://www.yelp.com/biz/pampas-grill-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
fresh-corn-grill-los-angeles-3,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.0576324462891, 'longitude': -118.442680358887}",(310) 470-0414,11194.02322212249,VRlrvtmKcpY86oyF93WVRQ,https://s3-media2.fl.yelpcdn.com/bphoto/DSwsmKPu6iWzOgboi5j6rA/o.jpg,False,"{'address1': '1266 Westwood Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90024', 'country': 'US', 'state': 'CA', 'display_address': ['1266 Westwood Blvd', 'Los Angeles, CA 90024']}",Fresh Corn Grill,+13104700414,$$,4.0,526,['delivery'],https://www.yelp.com/biz/fresh-corn-grill-los-angeles-3?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
water-grill-los-angeles-los-angeles,"[{'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 34.0490371292754, 'longitude': -118.254690932541}",(213) 891-0900,6300.312990264809,pDqUvoNY1kR963MJnfnL6Q,https://s3-media4.fl.yelpcdn.com/bphoto/lNP5AaJspM80JaBdBJgj_w/o.jpg,False,"{'address1': '544 S Grand Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90071', 'country': 'US', 'state': 'CA', 'display_address': ['544 S Grand Ave', 'Los Angeles, CA 90071']}",Water Grill- Los Angeles,+12138910900,$$$,4.0,1920,[],https://www.yelp.com/biz/water-grill-los-angeles-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
haewoori-korean-restauant-los-angeles,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 34.0521850585938, 'longitude': -118.301528930664}",,2106.665715271863,UY-S9_SsWS252lr3TYjmaw,https://s3-media2.fl.yelpcdn.com/bphoto/OnVHUC5GGbiZMBDgokACKg/o.jpg,False,"{'address1': '3030 W Olympic Blvd', 'address2': 'Ste 108', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90006', 'country': 'US', 'state': 'CA', 'display_address': ['3030 W Olympic Blvd', 'Ste 108', 'Los Angeles, CA 90006']}",Haewoori Korean Restauant,,$,5.0,2,[],https://www.yelp.com/biz/haewoori-korean-restauant-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
broadway-grill-los-angeles-3,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 34.04676, 'longitude': -118.25099}",(213) 372-5294,6720.4721304484265,wHx2LT9olJyaTTprEMruOA,https://s3-media2.fl.yelpcdn.com/bphoto/6tkpoaPOXp9LBI60UGD0aA/o.jpg,False,"{'address1': '541 S Spring St', 'address2': 'Ste 132', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['541 S Spring St', 'Ste 132', 'Los Angeles, CA 90013']}",Broadway Grill,+12133725294,,3.5,11,"['delivery', 'pickup']",https://www.yelp.com/biz/broadway-grill-los-angeles-3?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
central-grille-glendale-3,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 34.1575660705566, 'longitude': -118.258354187012}",(818) 246-4994,12147.562124259583,cvR4P_szq4uyO7YZJAZ4BA,https://s3-media1.fl.yelpcdn.com/bphoto/R8pz8Uq7rlWPI1fzOT9Fhg/o.jpg,False,"{'address1': '801 N Central Ave', 'address2': '', 'address3': None, 'city': 'Glendale', 'zip_code': '91203', 'country': 'US', 'state': 'CA', 'display_address': ['801 N Central Ave', 'Glendale, CA 91203']}",Central Grille,+18182464994,$$,4.0,389,[],https://www.yelp.com/biz/central-grille-glendale-3?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
corner-grill-los-angeles-4,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 34.2466977211798, 'longitude': -118.275244273245}",(818) 273-9332,21016.31396793783,xipFMYKod-PHrdYhVJh8wQ,https://s3-media2.fl.yelpcdn.com/bphoto/EYshHAQ23mpDdqAjhJ661Q/o.jpg,False,"{'address1': '6585 Foothill Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '91042', 'country': 'US', 'state': 'CA', 'display_address': ['6585 Foothill Blvd', 'Los Angeles, CA 91042']}",Corner Grill,+18182739332,$$,4.5,290,[],https://www.yelp.com/biz/corner-grill-los-angeles-4?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
outdoor-grill-los-angeles,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 33.997096, 'longitude': -118.434525}",(310) 636-4745,12654.70713130376,oLdqytMa946FN7qmiVxw8Q,https://s3-media3.fl.yelpcdn.com/bphoto/DvCMHuCR0irgw3j3Tdh6Ew/o.jpg,False,"{'address1': '12630 1/2 Washington Pl', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['12630 1/2 Washington Pl', 'Los Angeles, CA 90066']}",Outdoor Grill,+13106364745,$$,3.5,333,"['delivery', 'pickup']",https://www.yelp.com/biz/outdoor-grill-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
daebudo-los-angeles-2,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 34.0614471, 'longitude': -118.311821}",(213) 352-1300,880.7536811855316,ERqWIIhbV4d_x_1pvoSsgA,https://s3-media3.fl.yelpcdn.com/bphoto/-20MbHVZVvzcJcsPZEnwSQ/o.jpg,False,"{'address1': '3916 Wilshire Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90010', 'country': 'US', 'state': 'CA', 'display_address': ['3916 Wilshire Blvd', 'Los Angeles, CA 90010']}",DaeBuDo,+12133521300,$$,4.5,143,[],https://www.yelp.com/biz/daebudo-los-angeles-2?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
the-highlight-room-grill-los-angeles,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 34.10016, 'longitude': -118.33014}",(323) 366-8007,4363.568223031994,XT5o_SKmmpIGvwDKYZw5tg,https://s3-media1.fl.yelpcdn.com/bphoto/F57uMD8LbGj16UaZtCMd5g/o.jpg,False,"{'address1': '6417 Selma Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90028', 'country': 'US', 'state': 'CA', 'display_address': ['6417 Selma Ave', 'Los Angeles, CA 90028']}",The Highlight Room Grill,+13233668007,$$,4.0,127,[],https://www.yelp.com/biz/the-highlight-room-grill-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
b-grill-by-boa-steakhouse-los-angeles,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 33.9418651289111, 'longitude': -118.399799074483}",(310) 646-5252,15148.756726576494,BsLb9PfqQMfxspPX6mxmpA,https://s3-media1.fl.yelpcdn.com/bphoto/0iX_Rcligy5QAVaI9OZn3Q/o.jpg,False,"{'address1': '1 World Way Terminal 7', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90045', 'country': 'US', 'state': 'CA', 'display_address': ['1 World Way Terminal 7', 'Los Angeles, CA 90045']}",B Grill by BOA Steakhouse,+13106465252,$$,2.5,394,[],https://www.yelp.com/biz/b-grill-by-boa-steakhouse-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
grilled-fraiche-los-angeles,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 33.9886999811701, 'longitude': -118.334920071065}",(323) 389-8888,8200.424904843881,KGN01qTZPTOl2zvpfEgREA,https://s3-media1.fl.yelpcdn.com/bphoto/qBadZQlk-5HHWYMsoSRihw/o.jpg,False,"{'address1': '5800 W Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90043', 'country': 'US', 'state': 'CA', 'display_address': ['5800 W Blvd', 'Los Angeles, CA 90043']}",Grilled Fraiche,+13233898888,$$,4.5,229,[],https://www.yelp.com/biz/grilled-fraiche-los-angeles?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
the-holy-grill-restaurant-los-angeles-3,"[{'alias': 'kosher', 'title': 'Kosher'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 34.05555, 'longitude': -118.38769}",(310) 275-4420,6142.0328508622015,0da9y99NpbY6jc7ZgBMHbw,https://s3-media4.fl.yelpcdn.com/bphoto/kC9WvECNAMyZ8AcoSg7_VA/o.jpg,False,"{'address1': '8975 W Pico Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90035', 'country': 'US', 'state': 'CA', 'display_address': ['8975 W Pico Blvd', 'Los Angeles, CA 90035']}",The Holy Grill Restaurant,+13102754420,$$,4.5,120,"['delivery', 'pickup']",https://www.yelp.com/biz/the-holy-grill-restaurant-los-angeles-3?adjust_creative=ZBBlQj92l65SyjC6YzEH_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZBBlQj92l65SyjC6YzEH_g
